,Unnamed: 0,index,condition,image_index,key_press,rt,response,stimulus_side,prioritization_cue,subject,side,run,coherency,prioritization,category
98,101,27,1.0,1.0,1.0,0.541454502254055,1.0,1,right,17,inside,4,high,yes,car
99,102,28,2.0,21.0,2.0,0.602917331674689,1.0,1,double,17,inside,4,high,no,face
100,103,29,3.0,46.0,1.0,0.586665143215214,1.0,0,left,17,inside,4,low,yes,car
101,104,30,2.0,27.0,2.0,0.668796773130452,1.0,0,double,17,inside,4,high,no,face
102,105,31,4.0,51.0,1.0,0.604005164983391,1.0,0,double,17,inside,4,low,no,car
103,106,32,4.0,43.0,1.0,0.616030241017143,1.0,0,double,17,inside,4,low,no,car
104,107,33,4.0,40.0,1.0,0.579915643600543,1.0,0,double,17,inside,4,low,no,car
105,108,34,3.0,40.0,1.0,0.442588907477329,1.0,0,left,17,inside,4,low,yes,car
106,109,35,4.0,58.0,1.0,0.555673013837804,0.0,0,double,17,inside,4,low,no,face
107,110,36,4.0,54.0,1.0,0.546102864249406,1.0,1,double,17,inside,4,low,no,car
108,111,37,1.0,13.0,1.0,0.555655754935287,1.0,0,left,17,inside,4,high,yes,car
109,112,38,4.0,50.0,1.0,0.5119244957240879,1.0,1,double,17,inside,4,low,no,car
110,113,39,3.0,47.0,1.0,0.6729633462891801,1.0,0,left,17,inside,4,low,yes,car
111,114,40,1.0,10.0,1.0,0.5129702254707811,1.0,1,right,17,inside,4,high,yes,car
112,115,41,1.0,14.0,1.0,0.78634047333253,1.0,0,left,17,inside,4,high,yes,car
113,116,42,4.0,48.0,1.0,0.553777704244567,1.0,1,double,17,inside,4,low,no,car
114,117,43,1.0,24.0,2.0,0.847917405069893,1.0,1,right,17,inside,4,high,yes,face
115,118,44,2.0,13.0,1.0,0.5435892993336889,1.0,0,double,17,inside,4,high,no,car
116,119,45,3.0,61.0,2.0,0.6817487445186999,1.0,0,left,17,inside,4,low,yes,face
117,120,46,4.0,64.0,2.0,0.7592878718714928,1.0,1,double,17,inside,4,low,no,face
118,121,47,2.0,32.0,2.0,0.6442270900333821,1.0,1,double,17,inside,4,high,no,face
119,122,48,1.0,27.0,2.0,0.5556519807178121,1.0,1,right,17,inside,4,high,yes,face
120,123,49,1.0,18.0,1.0,0.8499698983032429,1.0,1,right,17,inside,4,high,yes,car
121,124,50,2.0,26.0,2.0,0.5272088869533039,1.0,0,double,17,inside,4,high,no,face
122,125,51,3.0,38.0,1.0,0.6791683856317831,1.0,1,right,17,inside,4,low,yes,car
123,126,52,3.0,53.0,1.0,0.51001947068653,1.0,1,right,17,inside,4,low,yes,car
124,127,53,1.0,36.0,2.0,0.5440869637714061,1.0,0,left,17,inside,4,high,yes,face
125,128,54,4.0,70.0,1.0,0.651058612347697,0.0,0,double,17,inside,4,low,no,face
126,129,55,1.0,33.0,2.0,0.487725253304234,1.0,0,left,17,inside,4,high,yes,face
127,130,56,2.0,19.0,2.0,0.61930375742304,1.0,0,double,17,inside,4,high,no,face
128,131,57,1.0,22.0,2.0,0.4643030993647701,1.0,0,left,17,inside,4,high,yes,face
129,132,58,3.0,39.0,1.0,0.522951886800001,1.0,1,right,17,inside,4,low,yes,car
130,133,59,4.0,67.0,1.0,0.7930408931752031,0.0,0,double,17,inside,4,low,no,face
131,134,60,1.0,3.0,1.0,0.933419198259799,1.0,0,left,17,inside,4,high,yes,car
132,135,61,3.0,59.0,1.0,0.6908759272300811,0.0,0,left,17,inside,4,low,yes,face
133,136,62,4.0,61.0,1.0,0.6300319676556679,0.0,0,double,17,inside,4,low,no,face
134,137,63,3.0,64.0,1.0,0.646092887574923,0.0,0,left,17,inside,4,low,yes,face
135,138,64,3.0,68.0,1.0,0.6347268443496429,0.0,0,left,17,inside,4,low,yes,face
136,139,65,2.0,8.0,1.0,0.676618563829834,1.0,1,double,17,inside,4,high,no,car
137,140,66,3.0,60.0,1.0,0.603490624784172,0.0,1,right,17,inside,4,low,yes,face
138,141,67,2.0,35.0,1.0,0.953133895196515,0.0,0,double,17,inside,4,high,no,face
139,142,68,1.0,21.0,2.0,0.560812511896074,1.0,1,right,17,inside,4,high,yes,face
140,143,69,2.0,24.0,2.0,0.6263653652604261,1.0,1,double,17,inside,4,high,no,face
141,144,70,2.0,10.0,1.0,0.6672804528061529,1.0,0,double,17,inside,4,high,no,car
142,145,71,1.0,30.0,2.0,0.593248848388612,1.0,0,left,17,inside,4,high,yes,face
143,146,72,1.0,16.0,1.0,0.47501764577828,1.0,1,right,17,inside,4,high,yes,car
144,149,1,1.0,27.0,2.0,0.4645489758950129,1.0,1,right,17,inside,3,high,yes,face
145,150,2,2.0,25.0,2.0,0.678916065306112,1.0,0,double,17,inside,3,high,no,face
146,151,3,3.0,38.0,1.0,0.442185685587901,1.0,1,right,17,inside,3,low,yes,car
147,152,4,4.0,41.0,1.0,0.664797076660761,1.0,1,double,17,inside,3,low,no,car
148,153,5,4.0,57.0,1.0,0.788842489193485,0.0,0,double,17,inside,3,low,no,face
149,154,6,1.0,7.0,1.0,0.7564228020528391,1.0,1,right,17,inside,3,high,yes,car
150,155,7,3.0,57.0,1.0,0.62890133167457,0.0,1,right,17,inside,3,low,yes,face
151,156,8,4.0,69.0,1.0,0.6820715857575121,0.0,0,double,17,inside,3,low,no,face
152,157,9,2.0,9.0,1.0,0.595530041362508,1.0,1,double,17,inside,3,high,no,car
153,158,10,2.0,26.0,1.0,1.3108824384798945,0.0,0,double,17,inside,3,high,no,face
154,159,11,1.0,25.0,2.0,0.568741597886401,1.0,1,right,17,inside,3,high,yes,face
155,160,12,3.0,61.0,1.0,0.969177282539022,0.0,1,right,17,inside,3,low,yes,face
156,161,13,3.0,54.0,1.0,0.512682377233432,1.0,1,right,17,inside,3,low,yes,car
157,162,14,1.0,17.0,1.0,0.7194558955088721,1.0,0,left,17,inside,3,high,yes,car
